Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Gross Amount,Commission,Net Amount
2025-04-10,TFSA,TSM(US8740391003) Cash Dividend USD 0.677693 per Share (Ordinary Div - NRA Withholding Exempt),Dividend,TSM,-,-,56.38,-,56.38
2025-04-10,TFSA,TSM(US8740391003) Cash Dividend USD 0.677693 per Share - TW Tax,Foreign Tax Withholding,TSM,-,-,-11.84,-,-11.84
2025-04-10,RRSP,TSM(US8740391003) Cash Dividend USD 0.677693 per Share (Ordinary Div - NRA Withholding Exempt),Dividend,TSM,-,-,36.65,-,36.65
2025-04-10,RRSP,TSM(US8740391003) Cash Dividend USD 0.677693 per Share - TW Tax,Foreign Tax Withholding,TSM,-,-,-7.7,-,-7.7
2025-04-09,TFSA,Electronic Fund Transfer (Regular Contribution),Deposit,-,-,-,"2,000.00",-,"2,000.00"
2025-04-09,Margin,Net Amount in Base from Forex Trade: -53.44 USD.CAD,Forex Trade Component,USD.CAD,-53.44,1.4175  CAD,-2.35,-2.85,-2.35
2025-04-09,Margin,Net Amount in Base from Forex Trade: 0.00389165 USD.CAD,Forex Trade Component,USD.CAD,0,1.4175  CAD,0,-,0
2025-04-09,TFSA,Net Amount in Base from Forex Trade: -55.51 USD.CAD,Forex Trade Component,USD.CAD,-55.51,1.4084  CAD,0.02,-,0.02
2025-04-09,TFSA,CONSTELLATION SOFTWARE INC,Buy,CSU,1,4685.7500  CAD,"-4,685.75",-1,"-4,686.75"
2025-04-09,RRSP,VANGUARD TOTAL STOCK MKT ETF,Buy,VTI,8,266.5171  USD,"-3,002.05",-1.41,"-3,003.46"
2025-04-09,RRSP,VANGUARD TOTAL STOCK MKT ETF,Buy,VTI,12,266.5171  USD,"-4,503.07",0,"-4,503.07"
2025-04-08,TFSA,SOFI TECHNOLOGIES INC,Buy,SOFI,100,10.3093  USD,"-1,470.62",-1.43,"-1,472.05"
2025-04-07,TFSA,Net Amount in Base from Forex Trade: -574.27 USD.CAD,Forex Trade Component,USD.CAD,-574.27,1.4180  CAD,-6.86,-2.84,-6.86
2025-04-07,TFSA,"Net Amount in Base from Forex Trade: -4,425.73 USD.CAD",Forex Trade Component,USD.CAD,"-4,425.73",1.4179  CAD,-31.42,-,-31.42
2025-04-07,TFSA,Net Amount in Base from Forex Trade: -2.02 USD.CAD,Forex Trade Component,USD.CAD,-2.02,1.4175  CAD,-0.02,-,-0.02
2025-04-07,TFSA,CONSTELLATION SOFTWARE INC,Buy,CSU,1,4481.0000  CAD,"-4,481.00",-1,"-4,482.00"
2025-04-07,TFSA,Net Amount in Base from Forex Trade: -0.7 USD.CAD,Forex Trade Component,USD.CAD,-0.7,1.4179  CAD,0,-,0
2025-04-07,TFSA,AMAZON.COM INC,Buy,AMZN,11,180.1550  USD,"-2,823.93",-1.43,"-2,825.36"
2025-04-07,TFSA,NVIDIA CORP,Buy,NVDA,30,97.5100  USD,"-4,168.55",-1.43,"-4,169.98"
2025-04-07,TFSA,META PLATFORMS INC-CLASS A,Buy,META,9,525.9400  USD,"-6,745.18",-1.43,"-6,746.61"
2025-04-07,TFSA,ALPHABET INC-CL A,Buy,GOOGL,13,148.9400  USD,"-2,759.11",-1.43,"-2,760.54"
2025-04-07,RRSP,VANGUARD TOTAL STOCK MKT ETF,Buy,VTI,15,250.4600  USD,"-5,353.58",-1.43,"-5,355.01"
2025-04-07,RRSP,VANGUARD TOTAL STOCK MKT ETF,Sell,VTI,-15,243.9700  USD,"5,214.86",-1.57,"5,213.28"
2025-04-07,RRSP,VANGUARD TOTAL STOCK MKT ETF,Buy,VTI,14,245.7700  USD,"-4,903.11",-1.43,"-4,904.54"
2025-04-04,RRSP,VANGUARD TOTAL STOCK MKT ETF,Buy,VTI,10,254.4700  USD,"-3,619.58",-1.42,"-3,621.00"
2025-04-03,RRSP,USD Credit Interest for Mar-2025,Credit Interest,-,-,-,33.41,-,33.41
2025-04-03,TFSA,USD Credit Interest for Mar-2025,Credit Interest,-,-,-,9.71,-,9.71
2025-04-03,Margin,CAD Debit Interest for Mar-2025,Debit Interest,-,-,-,-31.48,-,-31.48
2025-04-02,TFSA,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share (Ordinary Dividend),Dividend,NVDA,-,-,3.49,-,3.49
2025-04-02,TFSA,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share - US Tax,Foreign Tax Withholding,NVDA,-,-,-0.53,-,-0.53
2025-04-02,RRSP,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share (Ordinary Dividend),Dividend,NVDA,-,-,2.93,-,2.93
2025-04-02,TFSA,R*****19:US Consolidated Snapshot for Mar 2025,Other Fee,-,-,-,-0.01,-,-0.01
2025-04-02,TFSA,R*****19:US Consolidated Snapshot for Mar 2025,Other Fee,-,-,-,0.01,-,0.01
2025-04-02,Margin,Electronic Fund Transfer,Deposit,-,-,-,"2,500.00",-,"2,500.00"
2025-03-31,RRSP,VTI(US9229087690) Cash Dividend USD 0.9854 per Share (Ordinary Dividend),Dividend,VTI,-,-,140.36,-,140.36
2025-03-26,TFSA,ALPHABET INC-CL A,Buy,GOOGL,20,168.6450  USD,"-4,812.45",-1.43,"-4,813.88"
2025-03-26,TFSA,ALPHABET INC-CL A,Sell,GOOGL,-20,168.3300  USD,"4,803.46",-1.57,"4,801.90"
2025-03-24,TFSA,MICROSOFT CORP,Sell,MSFT,-50,391.7700  USD,"28,048.77",-2.23,"28,046.55"
2025-03-19,Margin,Electronic Fund Transfer,Deposit,-,-,-,"10,000.00",-,"10,000.00"
2025-03-17,RRSP,TAIWAN SEMICONDUCTOR-SP ADR,Buy,TSM,20,175.2950  USD,"-5,009.58",-1.43,"-5,011.01"
2025-03-17,TFSA,GOOGL(US02079K3059) Cash Dividend USD 0.20 per Share (Ordinary Dividend),Dividend,GOOGL,-,-,17.43,-,17.43
2025-03-17,TFSA,GOOGL(US02079K3059) Cash Dividend USD 0.20 per Share - US Tax,Foreign Tax Withholding,GOOGL,-,-,-2.61,-,-2.61
2025-03-13,TFSA,MSFT(US5949181045) Cash Dividend USD 0.83 per Share (Ordinary Dividend),Dividend,MSFT,-,-,104.29,-,104.29
2025-03-13,TFSA,MSFT(US5949181045) Cash Dividend USD 0.83 per Share - US Tax,Foreign Tax Withholding,MSFT,-,-,-15.64,-,-15.64
2025-03-13,RRSP,MSFT(US5949181045) Cash Dividend USD 0.83 per Share (Ordinary Dividend),Dividend,MSFT,-,-,5.99,-,5.99
2025-03-06,Margin,Electronic Fund Transfer,Deposit,-,-,-,"1,500.00",-,"1,500.00"
2025-03-05,Margin,CAD Debit Interest for Feb-2025,Debit Interest,-,-,-,-47.48,-,-47.48
2025-03-04,RRSP,VANGUARD TOTAL STOCK MKT ETF,Sell,VTI,-75,282.9700  USD,"30,548.03",-2.31,"30,545.71"
2025-02-13,TFSA,AAPL(US0378331005) Cash Dividend USD 0.25 per Share (Ordinary Dividend),Dividend,AAPL,-,-,4.26,-,4.26
2025-02-13,TFSA,AAPL(US0378331005) Cash Dividend USD 0.25 per Share - US Tax,Foreign Tax Withholding,AAPL,-,-,-0.64,-,-0.64
2025-02-13,Margin,AAPL(US0378331005) Payment in Lieu of Dividend (Ordinary Dividend),Payment in Lieu,AAPL,-,-,0.35,-,0.35
2025-02-13,Margin,AAPL(US0378331005) Payment in Lieu of Dividend - US Tax,Foreign Tax Withholding,AAPL,-,-,-0.11,-,-0.11
2025-02-13,Margin,AAPL(US0378331005) Cash Dividend USD 0.25 per Share (Ordinary Dividend),Dividend,AAPL,-,-,25.9,-,25.9
2025-02-13,Margin,AAPL(US0378331005) Cash Dividend USD 0.25 per Share - US Tax,Foreign Tax Withholding,AAPL,-,-,-7.78,-,-7.78
2025-02-05,Margin,CAD Debit Interest for Jan-2025,Debit Interest,-,-,-,-54.81,-,-54.81
2025-01-29,Margin,WALT DISNEY CO/THE,Sell,DIS,-0.36,113.2200  USD,58.99,-0.59,58.4
2025-01-27,TFSA,NVIDIA CORP,Buy,NVDA,5,119.4000  USD,-858.13,-1.44,-859.57
2025-01-21,Margin,Net Amount in Base from Forex Trade: -0.13 USD.CAD,Forex Trade Component,USD.CAD,-0.13,1.4309  CAD,0,-,0
2025-01-16,Margin,DIS(US2546871060) Cash Dividend USD 0.50 per Share (Ordinary Dividend),Dividend,DIS,-,-,0.26,-,0.26
2025-01-16,Margin,DIS(US2546871060) Cash Dividend USD 0.50 per Share - US Tax,Foreign Tax Withholding,DIS,-,-,-0.07,-,-0.07
2025-01-09,TFSA,TSM(US8740391003) Cash Dividend USD 0.608106 per Share (Ordinary Div - NRA Withholding Exempt),Dividend,TSM,-,-,52.61,-,52.61
2025-01-09,TFSA,TSM(US8740391003) Cash Dividend USD 0.608106 per Share - TW Tax,Foreign Tax Withholding,TSM,-,-,-11.05,-,-11.05
2025-01-09,RRSP,TSM(US8740391003) Cash Dividend USD 0.608106 per Share (Ordinary Div - NRA Withholding Exempt),Dividend,TSM,-,-,16.67,-,16.67
2025-01-09,RRSP,TSM(US8740391003) Cash Dividend USD 0.608106 per Share - TW Tax,Foreign Tax Withholding,TSM,-,-,-3.5,-,-3.5
2025-01-06,Margin,CAD Debit Interest for Dec-2024,Debit Interest,-,-,-,-34.88,-,-34.88
2024-12-27,TFSA,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share (Ordinary Dividend),Dividend,NVDA,-,-,3.46,-,3.46
2024-12-27,TFSA,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share - US Tax,Foreign Tax Withholding,NVDA,-,-,-0.52,-,-0.52
2024-12-27,RRSP,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share (Ordinary Dividend),Dividend,NVDA,-,-,2.97,-,2.97
2024-12-26,RRSP,VTI(US9229087690) Cash Dividend USD 0.9412 per Share (Ordinary Dividend),Dividend,VTI,-,-,235.96,-,235.96
2024-12-23,Margin,Withdrawal Fee,Other Fee,-,-,-,-2,-,-2
2024-12-23,Margin,Disbursement Initiated by Rishi Sharma,Withdrawal,-,-,-,"-5,000.00",-,"-5,000.00"
2024-12-18,Margin,Electronic Fund Transfer,Deposit,-,-,-,"3,000.00",-,"3,000.00"
2024-12-18,RRSP,Commission Adjustment (Consolidated Audit Trail Fee Refund),Deposit,-,-,-,0.01,-,0.01
2024-12-17,Margin,Electronic Fund Transfer,Deposit,-,-,-,"5,000.00",-,"5,000.00"
2024-12-16,Margin,Disbursement Initiated by Rishi Sharma,Withdrawal,-,-,-,"-10,000.00",-,"-10,000.00"
2024-12-12,TFSA,MSFT(US5949181045) Cash Dividend USD 0.83 per Share (Ordinary Dividend),Dividend,MSFT,-,-,102.68,-,102.68
2024-12-12,TFSA,MSFT(US5949181045) Cash Dividend USD 0.83 per Share - US Tax,Foreign Tax Withholding,MSFT,-,-,-15.4,-,-15.4
2024-12-12,RRSP,MSFT(US5949181045) Cash Dividend USD 0.83 per Share (Ordinary Dividend),Dividend,MSFT,-,-,5.9,-,5.9
2024-12-11,TFSA,APPLE INC,Sell,AAPL,-50,247.4900  USD,"17,521.05",-1.92,"17,519.14"
2024-12-11,TFSA,ALPHABET INC-CL A,Buy,GOOGL,31,193.6000  USD,"-8,497.67",-1.42,"-8,499.08"
2024-12-11,TFSA,ALPHABET INC-CL A,Buy,GOOGL,11,193.6000  USD,"-3,015.30",0,"-3,015.30"
2024-12-11,TFSA,ALPHABET INC-CL A,Buy,GOOGL,19,193.6000  USD,"-5,208.25",0,"-5,208.25"
2024-12-10,TFSA,Disbursement Initiated by Rishi Sharma (Normal distribution),Withdrawal,-,-,-,"-3,460.23",-,"-3,460.23"
2024-12-10,TFSA,"Net Amount in Base from Forex Trade: -2,442.55 USD.CAD",Forex Trade Component,USD.CAD,"-2,442.55",1.4165  CAD,-3.79,-,-3.79
2024-12-10,TFSA,Net Amount in Base from Forex Trade: -0.17 USD.CAD,Forex Trade Component,USD.CAD,-0.17,1.4165  CAD,0,-,0
2024-12-06,TFSA,BLOCK INC,Sell,SQ,-12,98.7003  USD,"1,677.00",-1.47,"1,675.53"
2024-12-06,TFSA,BLOCK INC,Sell,SQ,-13,98.7000  USD,"1,816.74",-0.05,"1,816.69"
2024-12-04,Margin,CAD Debit Interest for Nov-2024,Debit Interest,-,-,-,-2.81,-,-2.81
2024-12-02,Margin,Withdrawal Fee,Other Fee,-,-,-,-2,-,-2
2024-12-02,Margin,Disbursement Initiated by Rishi Sharma,Withdrawal,-,-,-,"-10,000.00",-,"-10,000.00"
2024-11-29,TFSA,"Net Amount in Base from Forex Trade: -2,482.75 USD.CAD",Forex Trade Component,USD.CAD,"-2,482.75",1.3991  CAD,-5.53,-2.8,-5.53
2024-11-29,TFSA,Disbursement Initiated by Rishi Sharma (Normal distribution),Withdrawal,-,-,-,"-3,522.42",-,"-3,522.42"
2024-11-29,Margin,Electronic Fund Transfer,Deposit,-,-,-,"8,213.00",-,"8,213.00"
2024-11-29,TFSA,Net Amount in Base from Forex Trade: 0.00434636 USD.CAD,Forex Trade Component,USD.CAD,0,1.4006  CAD,0,-,0
2024-11-28,Margin,Net Amount in Base from Forex Trade: -0.3308467 USD.CAD,Forex Trade Component,USD.CAD,-0.33,1.4029  CAD,0,-,0
2024-11-28,Margin,Electronic Fund Transfer,Deposit,-,-,-,"9,940.00",-,"9,940.00"
2024-11-27,Margin,Withdrawal Fee,Other Fee,-,-,-,-12,-,-12
2024-11-27,Margin,Disbursement Initiated by Rishi Sharma,Withdrawal,-,-,-,"-10,000.00",-,"-10,000.00"
2024-11-27,TFSA,CHEWY INC - CLASS A,Sell,CHWY,-30,33.3805  USD,"1,404.99",-1.45,"1,403.53"
2024-11-27,TFSA,CHEWY INC - CLASS A,Sell,CHWY,-30,33.3800  USD,"1,404.96",-0.05,"1,404.92"
2024-11-26,Margin,Disbursement Initiated by Rishi Sharma,Withdrawal,-,-,-,"-3,213.00",-,"-3,213.00"
2024-11-26,Margin,Withdrawal Fee,Other Fee,-,-,-,-2,-,-2
2024-11-26,Margin,Disbursement Initiated by Rishi Sharma,Withdrawal,-,-,-,"-5,000.00",-,"-5,000.00"
2024-11-25,Margin,BLOCK INC,Sell,SQ,-13,90.9400  USD,"1,653.45",-1.45,"1,652.00"
2024-11-25,Margin,BLOCK INC,Sell,SQ,-12,90.9400  USD,"1,526.26",-0.05,"1,526.22"
2024-11-25,Margin,"Net Amount in Base from Forex Trade: -2,298 USD.CAD",Forex Trade Component,USD.CAD,"-2,298.00",1.3995  CAD,-0.73,-2.8,-0.73
2024-11-14,TFSA,AAPL(US0378331005) Cash Dividend USD 0.25 per Share (Ordinary Dividend),Dividend,AAPL,-,-,21.79,-,21.79
2024-11-14,TFSA,AAPL(US0378331005) Cash Dividend USD 0.25 per Share - US Tax,Foreign Tax Withholding,AAPL,-,-,-3.28,-,-3.28
2024-11-14,Margin,AAPL(US0378331005) Cash Dividend USD 0.25 per Share (Ordinary Dividend),Dividend,AAPL,-,-,26.01,-,26.01
2024-11-14,Margin,AAPL(US0378331005) Cash Dividend USD 0.25 per Share - US Tax,Foreign Tax Withholding,AAPL,-,-,-7.8,-,-7.8
2024-10-09,TFSA,TSM(US8740391003) Cash Dividend USD 0.624826 per Share (Ordinary Div - NRA Withholding Exempt),Dividend,TSM,-,-,51.52,-,51.52
2024-10-09,TFSA,TSM(US8740391003) Cash Dividend USD 0.624826 per Share - TW Tax,Foreign Tax Withholding,TSM,-,-,-10.81,-,-10.81
2024-10-09,RRSP,TSM(US8740391003) Cash Dividend USD 0.624826 per Share (Ordinary Div - NRA Withholding Exempt),Dividend,TSM,-,-,16.31,-,16.31
2024-10-09,RRSP,TSM(US8740391003) Cash Dividend USD 0.624826 per Share - TW Tax,Foreign Tax Withholding,TSM,-,-,-3.42,-,-3.42
2024-10-03,TFSA,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share (Ordinary Dividend),Dividend,NVDA,-,-,3.25,-,3.25
2024-10-03,TFSA,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share - US Tax,Foreign Tax Withholding,NVDA,-,-,-0.49,-,-0.49
2024-10-03,RRSP,NVDA(US67066G1040) Cash Dividend USD 0.01 per Share (Ordinary Dividend),Dividend,NVDA,-,-,2.58,-,2.58
2024-10-01,RRSP,VTI(US9229087690) Cash Dividend USD 0.8707 per Share (Ordinary Dividend),Dividend,VTI,-,-,204.39,-,204.39
2024-09-17,RRSP,NVIDIA CORP,Buy,NVDA,12,118.2400  USD,"-1,929.39",-1.36,"-1,930.75"
2024-09-17,RRSP,NVIDIA CORP,Buy,NVDA,4,118.2400  USD,-643.13,0,-643.13
2024-09-17,RRSP,MICROSOFT CORP,Buy,MSFT,5,439.2700  USD,"-2,986.60",-1.36,"-2,987.96"
2024-09-17,RRSP,VANGUARD TOTAL STOCK MKT ETF,Buy,VTI,8,278.9900  USD,"-3,034.96",-1.36,"-3,036.33"
2024-09-12,TFSA,MSFT(US5949181045) Cash Dividend USD 0.75 per Share (Ordinary Dividend),Dividend,MSFT,-,-,88.62,-,88.62
2024-09-12,TFSA,MSFT(US5949181045) Cash Dividend USD 0.75 per Share - US Tax,Foreign Tax Withholding,MSFT,-,-,-13.3,-,-13.3
2024-08-28,RRSP,SUPER MICRO COMPUTER INC,Sell,SMCI,-14,409.4550  USD,"7,727.81",-1.57,"7,726.24"
2024-08-15,TFSA,AAPL(US0378331005) Cash Dividend USD 0.25 per Share (Ordinary Dividend),Dividend,AAPL,-,-,21.28,-,21.28
2024-08-15,TFSA,AAPL(US0378331005) Cash Dividend USD 0.25 per Share - US Tax,Foreign Tax Withholding,AAPL,-,-,-3.2,-,-3.2
2024-08-15,Margin,AAPL(US0378331005) Cash Dividend USD 0.25 per Share (Ordinary Dividend),Dividend,AAPL,-,-,25.4,-,25.4
